时间,微压差
0.1,208
0.2,210
0.4,210
0.6,211
0.8,211
1,211
1.1,211
1.4,212
1.5,212
1.6,213
1.8,214
2,214
2.1,215
2.2,215
2.4,215
2.5,215
2.6,215
2.7,215
2.9,215
3,215
3.2,216
3.4,218
3.5,218
3.6,218
3.7,218
3.9,218
4,218
4.2,218
4.4,218
4.6,218
4.7,220
4.9,220
5.1,221
5.2,221
5.4,221
5.6,221
5.7,221
5.9,221
6.1,222
6.3,224
6.4,224
6.7,224
6.9,224
7.1,224
7.2,224
7.5,224
7.7,225
8,226
8.2,226
8.3,226
8.5,226
8.7,226
8.8,226
9,227
9.2,227
9.3,227
9.6,227
9.8,227
10,227
10.3,227
10.5,209
10.7,209
10.9,209
11.1,210
11.3,210
11.5,210
11.7,211
11.8,211
12,211
12.2,213
12.3,214
12.6,214
12.8,214
13,214
13.2,214
13.3,214
13.5,215
13.7,216
13.8,216
14,216
14.2,216
14.3,216
14.6,216
14.8,217
15,219
15.2,220
15.3,220
15.6,220
15.8,220
16.1,220
16.3,221
16.5,222
16.6,222
16.8,223
17,223
17.1,223
17.3,223
17.6,223
17.8,224
18,224
18.1,225
18.3,225
18.5,225
18.6,225
18.9,225
19,225
19.1,226
19.3,226
19.5,227
19.6,227
19.8,227
20,227
20.2,227
20.3,227
20.5,227
20.6,227
20.8,227
21.1,211
21.3,211
21.5,211
21.6,211
21.9,211
22,212
22.1,212
22.3,214
22.5,214
22.6,214
22.9,214
23,214
23.1,214
23.4,214
23.5,214
23.6,216
23.8,217
24,217
24.1,217
24.4,217
24.5,217
24.6,217
24.8,217
25,218
25.1,218
25.3,218
25.5,218
25.6,218
25.9,218
26,218
26.1,218
26.4,218
26.5,204
26.6,204
26.8,206
27,206
27.1,206
27.4,206
27.5,207
27.6,207
27.8,207
28,209
28.1,209
28.3,210
28.5,210
28.6,210
28.8,210
29,210
29.1,210
29.3,211
29.5,211
29.6,212
29.8,213
30,213
30.1,213
30.3,213
30.5,213
30.6,214
30.9,216
31,216
31.1,217
31.3,217
31.5,217
31.6,217
31.8,217
32.1,217
32.2,218
32.4,218
32.6,218
32.7,218
32.9,218
33,218
33.1,218
33.2,218
33.4,218
33.5,218
33.6,218
33.7,218
33.9,203
34,204
34.1,204
34.2,205
34.4,205
34.5,205
34.6,205
34.7,205
35,205
35.1,206
35.2,206
35.4,207
35.6,208
35.7,208
36,208
36.1,208
36.2,208
36.5,209
36.6,209
36.7,209
36.9,211
37.1,211
37.2,211
37.4,211
37.6,211
37.7,211
37.9,212
38,212
38.2,214
38.4,214
38.6,214
38.7,214
38.9,214
39,214
39.1,214
39.2,214
39.5,216
39.6,216
39.7,216
39.9,218
40,218
40.1,218
40.3,218
40.4,218
40.5,218
40.6,218
40.7,218
41,218
41.1,218
41.2,218
41.5,203
41.6,203
41.7,203
41.9,204
42,204
42.2,204
42.4,205
42.5,205
42.6,207
42.7,207
42.9,208
43.1,208
43.2,208
43.4,208
43.5,208
43.6,208
43.8,208
43.9,208
44,209
44.1,209
44.2,211
44.4,211
44.6,211
44.7,211
44.9,211
45,211
45.2,211
45.4,212
45.5,214
45.6,214
45.8,215
45.9,215
46,215
46.1,215
46.3,215
46.4,215
46.5,215
46.6,215
46.7,215
46.9,216
47.1,218
47.2,218
47.4,218
47.5,218
47.6,218
47.7,218
47.9,218
48.1,218
48.2,218
48.4,220
48.5,220
48.7,221
48.9,221
49,221
49.2,221
49.4,221
49.5,221
49.7,222
49.9,222
50,224
50.2,224
50.4,224
50.5,224
50.6,224
50.8,224
50.9,224
51,224
51.2,224
51.4,225
51.5,227
51.6,227
51.7,227
51.9,227
52.1,227
52.2,227
52.4,227
52.5,227
52.7,227
52.9,227
53,227
53.2,227
53.4,227
53.5,227
53.6,227
53.8,227
53.9,227
54,227
54.1,203
54.2,203
54.5,204
54.6,204
54.7,205
54.9,205
55,205
55.1,205
55.3,205
55.4,205
55.5,206
55.6,206
55.8,207
55.9,207
56,209
56.1,209
56.2,209
56.4,209
56.5,209
56.6,209
56.7,209
57,209
57.1,211
57.2,211
57.4,212
57.5,212
57.6,212
57.7,212
58,212
58.1,212
58.2,212
58.4,212
58.5,212
58.6,214
58.8,214
58.9,215
59,215
59.1,215
59.3,215
59.4,215
59.5,215
59.6,216
59.7,216
59.9,216
60,216
60.1,218
60.2,218
60.4,218
60.5,218
60.6,218
60.7,218
61,218
61.1,218
61.2,218
61.4,218
61.5,218
61.6,218
61.7,204
61.9,204
62,204
62.1,204
62.2,204
62.4,204
62.5,204
62.6,204
62.7,205
62.9,205
63,205
63.1,207
63.2,207
63.4,208
63.5,208
63.6,208
63.7,208
64,208
64.2,209
64.4,210
64.6,212
64.7,212
65,212
65.2,212
65.4,212
65.6,212
65.7,212
66,214
66.2,215
66.4,215
66.6,215
66.7,215
66.9,215
67.1,215
67.2,215
67.4,216
67.6,218
67.7,218
68,218
68.2,218
68.4,218
68.6,219
68.8,220
68.9,220
69.2,221
69.4,221
69.6,221
69.7,221
70,221
70.2,222
70.4,224
70.6,225
70.7,225
71,225
71.2,225
71.4,225
71.6,225
71.7,226
71.9,226
72.2,226
72.4,226
72.7,226
72.9,226
73.1,226
73.2,201
73.4,203
73.6,203
73.7,203
73.9,203
74.1,203
74.2,203
74.4,204
74.6,206
74.7,206
74.9,207
75.1,208
75.2,208
75.4,208
75.6,208
75.7,208
75.9,208
76.2,210
76.4,211
76.6,211
76.7,211
76.9,211
77.1,211
77.3,211
77.4,211
77.6,212
77.7,214
78,214
78.2,214
78.5,214
78.7,214
78.9,215
79.1,216
79.2,216
79.4,218
79.7,218
79.9,218
80.1,218
80.2,218
80.4,218
80.7,220
80.9,220
