时间,微压差
81.1,220
81.2,220
81.4,220
81.7,220
81.9,220
82.2,205
82.4,205
82.6,205
82.8,205
82.9,205
83.1,205
83.2,207
83.4,207
83.6,208
83.7,209
83.9,209
84.1,209
84.3,209
84.4,209
84.6,210
84.8,211
84.9,211
85.1,212
85.2,213
85.4,213
85.6,213
85.7,213
86,213
86.2,213
86.4,214
86.6,216
86.7,216
87,216
87.2,216
87.4,216
87.6,217
87.8,217
87.9,218
88.1,218
88.2,218
88.4,218
88.6,218
88.7,218
88.9,218
89.1,218
89.2,218
89.4,218
89.6,204
89.7,204
90,204
90.2,204
90.4,205
90.7,206
90.9,207
91.1,209
91.2,209
91.4,209
91.6,209
91.7,209
91.9,209
92.1,210
92.3,210
92.4,212
92.6,212
92.7,212
92.9,212
93.1,212
93.2,212
93.4,212
93.6,212
93.7,214
94,216
94.2,216
94.4,216
94.6,216
94.7,216
95,216
95.2,218
95.4,218
95.6,218
95.7,218
96,218
96.2,218
96.5,218
96.7,218
96.9,218
97.2,202
97.4,202
97.6,203
97.7,203
97.9,204
98.1,205
98.2,205
98.5,207
98.7,207
99,207
99.2,207
99.4,209
99.6,209
99.7,210
100,211
100,2         211
100,4         211
100,6         211
100,7         212
100,9         213
101,1         213
101,2         213
101,4         214
101,7         214
101,9         214
102,2         214
102,4         215
102,6         217
102,7         217
102,9         217
103,1         217
103,2         217
103,4         217
103,6         217
103,7         217
103,9         217
104,2         203
104,4         203
104,7         203
104,9         203
105,1         205
105,3         205
105,4         206
105,6         207
105,8         207
105,9         207
106,1         207
106,3         207
106,4         207
106,6         207
106,7         209
106,9         209
107,2         211
107,4         211
107,7         211
107,9         211
108,1         212
108,2         213
108,4         213
108,6         214
108,7         214
108,9         214
109,2         214
109,4         214
109,6         215
109,7         215
109,9         216
110,1         216
110,2         216
110,4         216
110,7         216
110,9         217
111,2         219
111,4         219
111,6         220
111,8         220
111,9         220
112,1         220
112,2         220
112,4         220
112,6         221
112,8         222
112,9         222
113,1         223
113,3         223
113,4         223
113,6         223
113,8         223
113,9         223
114,1         224
114,2         224
114,4         224
114,6         224
114,8         224
114,9         224
115,1         224
115,2         224
115,4         224
115,6         201
115,8         201
115,9         201
116,1         201
116,3         201
116,4         201
116,6         201
116,7         202
116,9         203
117,1         205
117,3         205
117,4         205
117,6         205
117,7         205
118,206
118,2         207
118,5         209
118,7         209
118,9         210
119,1         210
119,2         210
119,4         210
119,6         210
119,7         210
119,9         211
120,1         213
120,3         213
120,4         213
120,6         213
120,7         213
120,9         213
121,1         214
121,2         214
121,4         215
121,6         216
121,8         216
121,9         216
122,1         216
122,2         216
122,4         216
122,6         216
122,7         218
123,219
123,2         220
123,4         220
123,6         220
123,7         220
124,220
124,2         220
124,5         220
124,7         202
124,9         202
125,1         202
125,2         203
125,5         203
125,7         204
126,205
126,2         207
126,5         207
126,7         207
126,9         207
127,1         209
127,2         209
127,5         210
127,7         210
127,9         210
128,1         210
128,4         210
128,6         211
128,8         212
129,213
129,2         213
129,3         213
129,5         213
129,7         214
129,8         214
130,1         215
130,3         216
130,6         217
130,8         217
131,1         217
131,3         217
131,6         218
131,8         218
132,220
132,2         220
132,3         220
132,5         220
132,7         220
132,8         221
133,1         221
133,3         222
133,6         223
133,8         223
134,223
134,2         223
134,3         223
134,6         224
134,8         226
135,226
135,2         226
135,3         226
135,6         226
135,8         227
136,1         227
136,3         227
136,5         227
136,7         227
136,8         227
137,227
137,2         227
137,3         203
137,5         205
137,7         205
137,9         205
138,1         205
138,4         205
138,6         205
138,8         206
139,207
139,2         209
139,4         209
139,6         209
139,8         209
140,209
140,2         210
140,3         210
140,5         212
140,7         212
140,8         212
141,212
141,2         212
141,3         212
141,5         213
141,8         214
142,216
142,3         216
142,5         216
142,8         216
143,216
143,2         216
143,4         218
143,6         219
143,8         219
144,1         219
144,3         219
144,5         219
144,8         219
145,219
145,2         203
145,4         203
145,6         203
145,8         203
146,205
146,3         206
146,5         207
146,7         208
146,8         208
147,208
147,3         209
147,5         209
147,7         211
147,9         211
148,1         212
148,3         212
148,5         212
148,7         212
148,8         212
149,212
149,2         214
149,4         215
149,6         215
149,8         215
150,1         215
150,3         215
150,5         216
150,7         218
150,8         218
151,218
151,2         218
151,4         218
151,6         218
151,9         219
152,1         220
152,4         220
152,6         220
152,8         220
153,220
153,2         220
153,3         220
153,5         220
153,7         197
153,8         198
154,198
154,2         198
154,3         198
154,6         199
154,8         199
155,200
155,2         202
155,3         202
155,5         202
155,7         202
155,8         202
156,202
156,2         203
156,3         203
156,5         205
156,7         205
156,9         205
157,1         205
157,3         205
157,5         206
157,7         207
157,8         207
158,209
158,2         209
158,3         209
158,5         209
158,7         209
158,8         209
159,209
159,2         210
159,3         211
159,6         212
159,8         212
160,212
160,2         212
160,3         212
160,5         212
160,7         213
160,8         215
161,1         215
161,3         216
161,6         216
161,8         216
162,216
162,3         218
162,5         219
162,7         219
162,8         219
163,1         219
163,3         219
163,6         220
163,8         220
164,220
164,3         220
164,5         220
164,7         220
164,8         220
165,1         205
165,3         207
165,5         207
165,7         207
165,8         207
166,207
166,2         207
166,3         207
166,5         208
166,7         210
166,8         211
167,1         211
167,3         211
167,5         211
167,7         211
167,8         211
168,212
168,2         214
168,3         214
168,5         214
168,7         214
168,8         214
169,1         214
169,3         215
169,5         216
169,7         216
169,8         218
170,218
170,2         218
170,3         218
170,6         218
170,8         218
171,218
171,3         218
171,5         201
171,7         201
171,8         201
172,202
172,3         203
172,5         205
172,8         206
173,207
173,2         207
173,3         207
173,5         207
173,7         208
173,8         208
174,209
174,3         211
174,5         211
174,7         211
174,8         211
175,211
175,3         212
175,5         214
175,7         214
175,8         214
176,214
176,2         214
176,4         214
176,6         215
176,8         215
177,216
177,2         218
177,3         218
177,5         218
177,7         218
177,9         218
178,1         219
178,3         219
178,5         221
178,7         222
178,8         222
179,222
179,2         222
179,4         222
179,6         222
179,9         223
180,1         224
180,4         224
180,6         224
180,8         224
181,1         225
181,3         227
181,6         227
181,8         227
182,227
182,3         227
182,5         227
182,7         227
182,8         202
183,202
183,2         203
183,3         203
183,6         203
183,8         203
184,1         204
184,3         205
184,5         207
184,7         207
184,8         207
185,207
185,2         207
185,3         207
185,6         209
185,8         210
186,211
186,2         211
186,3         211
186,5         211
186,7         211
186,8         211
187,212
187,2         212
187,3         214
187,5         214
187,7         214
187,8         214
188,214
188,2         214
188,3         214
188,5         216
188,7         217
188,8         217
189,218
189,2         218
189,3         218
189,6         218
189,8         218
190,220
190,2         220
190,3         220
190,5         220
190,8         220
191,220
191,3         220
191,5         205
191,7         206
191,8         206
192,1         206
192,3         206
192,6         207
192,8         208
193,210
193,2         210
193,3         210
193,6         210
193,8         210
194,210
194,2         211
194,3         212
194,5         212
194,7         213
194,8         213
195,213
195,2         213
195,3         213
195,5         214
195,7         214
195,8         214
196,216
196,3         217
196,5         217
196,7         217
196,9         217
197,1         217
197,3         219
197,5         220
197,7         220
197,9         220
198,1         220
198,3         220
198,5         220
198,7         221
198,9         221
199,1         221
199,4         221
199,6         221
199,8         221
200,221
200,2         206
200,3         206
200,5         208
200,7         209
200,8         209
201,1         209
201,3         209
201,5         209
201,7         211
201,9         211
202,1         212
202,3         212
202,6         212
202,8         213
203,214
203,3         216
203,5         216
203,7         216
203,8         216
204,1         216
204,3         217
204,5         217
204,8         217
205,217
205,2         217
205,3         217
205,5         217
205,8         217
206,203
206,2         205
206,3         205
206,5         205
206,8         205
207,205
207,2         207
207,3         207
207,5         208
207,7         209
207,8         209
208,210
208,2         210
208,3         210
208,5         210
208,7         211
208,8         211
209,212
209,2         212
209,3         213
209,6         213
209,8         213
210,213
210,2         213
210,4         214
210,6         216
210,8         217
211,217
211,2         217
211,3         217
211,5         217
211,7         218
211,8         218
212,1         219
212,3         220
212,6         220
212,8         220
213,1         220
213,3         221
213,5         221
213,7         221
213,8         221
214,221
214,2         221
214,3         221
214,5         221
214,8         207
215,209
215,2         209
215,3         209
215,5         209
215,7         209
215,8         209
216,210
216,2         210
216,3         212
216,5         212
216,7         212
216,8         212
217,212
217,2         212
217,3         212
217,5         213
217,7         214
217,8         214
218,216
218,2         216
218,3         216
218,6         216
218,8         216
219,217
219,2         217
219,4         217
219,6         217
219,9         217
220,1         217
220,3         217
220,5         203
220,7         205
220,9         205
221,1         205
221,3         205
221,5         205
221,7         205
221,8         206
222,206
222,2         208
222,3         209
222,6         209
222,8         209
223,209
223,3         210
223,5         211
223,7         212
223,8         212
224,213
224,2         213
224,3         213
224,6         213
224,8         213
225,214
225,2         214
225,3         216
225,5         216
225,7         216
225,8         216
226,216
226,2         217
226,4         217
226,6         218
226,8         219
227,219
227,2         219
227,4         219
227,6         219
227,9         220
228,1         221
228,3         221
228,6         221
228,8         221
229,1         221
229,3         221
229,5         221
229,8         206
230,207
230,2         207
230,4         207
230,6         207
230,8         209
231,210
231,2         211
231,4         211
231,6         211
231,8         211
232,211
232,2         211
232,3         212
232,6         214
232,8         214
233,214
233,2         214
233,3         214
233,5         214
233,7         215
233,8         215
234,217
234,2         218
234,4         218
234,6         218
234,8         218
235,218
235,2         218
235,3         218
235,5         218
235,8         201
236,201
236,2         201
236,3         202
236,5         203
236,7         205
236,8         205
237,206
237,2         206
237,3         206
237,5         207
237,8         207
238,208
238,2         208
238,3         210
238,5         210
238,7         210
238,8         210
239,210
239,2         210
239,3         211
239,6         212
239,8         213
240,213
240,2         213
240,3         213
240,6         213
240,8         213
241,214
241,2         216
241,3         216
241,6         216
241,8         216
242,1         216
242,3         217
242,5         218
242,7         218
242,8         218
243,1         218
243,3         218
243,5         218
243,7         218
243,8         218
244,204
244,2         204
244,3         205
244,5         205
244,7         205
244,8         205
245,205
245,2         206
245,3         207
245,5         207
245,7         209
245,8         209
246,209
246,2         209
246,3         209
246,5         209
246,7         211
246,8         211
247,212
247,3         213
247,5         213
247,7         213
247,8         213
248,214
248,3         215
248,5         216
248,7         216
248,8         217
249,217
249,2         217
249,3         217
249,6         218
249,8         220
250,220
250,3         220
250,5         220
250,7         220
250,9         220
251,1         222
251,3         222
251,5         224
251,8         224
252,224
252,3         224
252,5         224
252,8         226
253,226
253,3         226
253,5         226
253,7         226
253,9         226
254,1         226
254,3         202
254,5         202
254,7         203
254,8         203
255,203
255,2         203
255,3         205
255,5         206
255,7         206
255,9         208
256,1         208
256,4         208
256,5         208
256,6         209
256,8         209
257,209
257,1         209
257,3         211
257,5         212
257,6         212
257,9         212
258,212
258,1         212
258,3         212
258,6         214
258,8         215
259,1         216
259,3         216
259,5         216
259,6         216
259,9         217
260,218
260,1         218
260,3         218
260,5         218
260,6         218
260,8         218
261,1         218
261,3         218
261,5         218
261,6         205
261,8         205
262,205
262,1         206
262,3         206
262,5         206
262,6         207
262,8         208
263,208
263,1         208
263,3         210
263,5         211
263,7         211
263,8         211
264,211
264,1         211
264,3         212
264,5         214
264,6         214
264,8         214
265,1         214
265,3         214
265,5         214
265,6         215
265,8         216
266,216
266,1         216
266,4         216
266,5         216
266,6         216
266,8         216
267,216
267,1         216
267,3         203
267,6         204
267,8         204
268,1         204
268,3         204
268,6         205
268,8         206
269,1         208
269,3         209
269,5         209
269,6         209
269,8         209
270,1         210
270,3         211
270,5         213
270,6         213
270,8         213
271,213
271,1         213
271,3         213
271,5         214
271,7         214
271,8         216
272,216
272,1         216
272,4         216
272,5         216
272,6         216
272,8         217
273,217
273,1         218
273,3         220
273,5         220
273,6         220
273,8         220
274,1         220
274,3         221
274,5         222
274,7         223
274,8         223
275,224
275,1         224
275,3         224
275,5         224
275,6         224
275,8         224
276,225
276,1         225
276,3         227
276,5         227
276,6         227
276,9         227
277,227
277,1         227
277,3         227
277,5         227
277,7         227
277,8         204
278,204
278,1         204
278,3         204
278,6         205
278,8         206
279,1         206
279,3         208
279,6         209
279,8         209
280,209
280,1         209
280,4         209
280,5         211
280,6         211
280,8         212
281,1         212
281,3         212
281,6         213
281,8         214
282,1         216
282,3         216
282,5         216
282,7         216
282,8         216
283,216
283,2         216
283,3         218
283,5         220
283,6         220
283,9         220
284,220
284,1         220
284,3         220
284,5         220
284,6         220
284,8         220
285,220
285,1         220
285,3         203
285,5         203
285,6         204
285,8         204
286,205
286,1         205
286,3         206
286,5         207
286,7         207
286,8         209
287,209
287,2         209
287,3         209
287,5         209
287,7         209
287,8         211
288,212
288,1         212
288,3         212
288,5         212
288,6         212
288,9         212
289,212
289,1         213
289,3         215
289,5         215
289,6         216
289,8         216
290,1         216
290,3         216
290,5         216
290,6         218
290,8         218
291,1         218
291,3         218
291,5         218
291,6         218
291,9         218
292,218
292,1         218
292,3         204
292,5         205
292,7         205
292,8         205
293,205
293,1         205
293,3         206
293,5         207
293,6         207
293,8         209
294,210
294,2         210
294,3         210
294,5         210
294,7         210
294,8         211
295,211
295,1         212
295,3         213
295,5         213
295,6         213
295,8         213
296,1         213
296,3         214
296,5         215
296,7         217
296,8         217
297,218
297,2         218
297,3         218
297,5         218
297,6         218
297,9         218
298,220
298,1         220
298,3         221
298,5         221
298,6         221
298,8         221
299,221
299,1         221
299,3         222
299,5         224
299,6         224
299,8         224
300,224
300,1         224
300,3         224
300,5         224
300,6         225
300,8         225
301,226
301,1         227
301,4         227
301,5         227
301,6         227
301,8         227
302,227
302,1         227
302,3         227
302,5         227
302,6         203
302,8         203
303,203
303,1         204
303,3         204
303,5         205
303,6         205
303,8         206
304,207
304,1         207
304,4         208
304,5         208
304,6         208
304,8         208
305,209
305,1         209
305,3         211
305,5         212
305,6         212
305,9         212
306,212
306,1         212
306,4         212
306,5         212
306,6         214
306,8         215
307,215
307,1         216
307,4         216
307,5         216
307,6         216
307,8         216
308,216
308,1         216
308,4         218
308,5         220
308,6         220
308,8         220
309,220
309,1         220
309,4         220
309,5         220
309,6         220
309,8         220
310,220
310,1         220
310,3         220
310,5         220
310,6         220
310,8         220
311,1         205
311,3         207
311,6         208
311,8         208
312,208
312,2         208
312,3         209
312,5         209
312,7         211
312,8         211
313,212
313,1         212
313,3         212
313,5         212
313,7         212
313,8         212
314,213
314,2         215
314,3         215
314,5         216
314,7         216
314,8         216
315,216
315,2         216
315,3         216
315,5         216
315,7         216
315,8         216
316,179
316,1         179
316,3         179
316,6         179
316,8         179
317,179
317,1         179
317,3         179
317,6         80
317,8         80
318,80
318,2         82
318,3         82
318,5         96
318,6         108
318,9         126
319,126
319,1         142
319,3         142
319,6         155
319,8         165
320,172
320,2         176
320,3         176
320,5         178
320,6         178
320,9         180
321,181
321,1         181
321,3         184
321,5         187
321,6         187
321,8         187
322,188
322,1         188
322,3         188
322,5         189
322,6         189
322,8         191
323,191
323,1         193
323,3         193
323,5         194
323,7         194
323,8         194
324,194
324,1         195
324,3         198
324,5         198
324,6         198
324,8         198
325,198
325,2         198
325,3         198
325,6         199
325,8         200
326,202
326,2         202
326,3         202
326,5         202
326,6         202
326,9         203
327,203
327,1         203
327,3         205
327,6         206
327,8         206
328,1         206
328,3         207
328,5         207
328,6         208
328,8         209
329,209
329,1         209
329,4         209
329,5         209
329,6         210
329,8         210
330,211
330,1         212
330,4         213
330,5         213
330,6         213
330,8         213
331,213
331,1         214
331,4         214
331,5         214
331,6         214
331,8         216
332,216
332,1         216
332,3         216
332,5         216
332,6         216
332,8         217
333,218
333,1         218
333,3         220
333,5         220
333,6         220
333,8         220
334,220
334,1         220
334,3         222
334,5         222
334,6         223
334,8         224
335,224
335,1         224
335,3         224
335,6         224
335,8         224
336,225
336,1         227
336,3         227
336,6         227
336,8         227
337,227
337,1         228
337,4         228
337,5         230
337,6         230
337,8         231
338,231
338,1         231
338,3         231
338,6         231
338,8         231
339,233
339,1         233
339,3         233
339,5         233
339,6         233
339,8         233
340,1         233
340,3         233
340,5         233
340,6         204
340,8         205
341,1         205
341,3         205
341,5         205
341,6         207
341,8         207
342,209
342,1         209
342,4         209
342,5         209
342,6         209
342,8         209
343,209
343,2         211
343,3         211
343,5         212
343,6         212
343,8         212
344,212
344,2         212
344,3         213
344,6         214
344,8         216
345,216
345,2         216
345,3         216
345,5         216
345,7         216
345,8         216
346,218
346,2         218
346,3         218
346,5         219
346,6         220
346,8         220
347,220
347,1         220
347,3         220
347,6         220
347,8         222
348,223
348,2         223
348,3         223
348,5         223
348,6         223
348,8         223
349,224
349,1         224
349,3         225
349,5         225
349,6         225
349,9         225
350,225
350,1         225
350,3         226
350,5         227
350,6         227
350,8         229
351,229
351,1         229
351,3         229
351,5         229
351,6         229
351,8         229
352,230
352,1         231
352,3         231
352,5         232
352,6         232
352,9         232
353,232
353,1         232
353,3         232
353,5         232
353,6         232
353,8         232
354,200
354,1         200
354,4         201
354,5         202
354,6         202
354,9         203
355,205
355,1         205
355,3         207
355,5         207
355,6         207
355,9         207
356,207
356,1         207
356,3         209
356,6         211
356,8         211
357,1         211
357,3         211
357,5         211
357,6         212
357,9         214
358,214
358,1         214
358,3         214
358,6         214
358,8         214
359,215
359,2         216
359,3         216
359,6         218
359,8         218
360,218
360,2         218
360,3         218
360,5         219
360,6         219
360,8         220
361,222
361,2         222
361,3         222
361,5         222
361,6         222
361,8         222
362,223
362,2         223
362,3         224
362,5         224
362,6         225
362,8         225
363,1         225
363,3         225
363,5         225
363,6         227
363,9         228
364,228
364,1         228
364,4         228
364,5         228
364,6         228
364,8         228
365,229
365,1         229
365,3         231
365,5         232
365,7         232
365,8         232
366,232
366,1         232
366,4         233
366,5         233
366,6         233
366,8         233
367,233
367,1         233
367,3         233
367,5         233
367,7         233
367,8         203
368,206
368,1         206
368,3         207
368,5         207
368,6         208
368,8         208
369,1         208
369,3         209
369,5         210
369,6         210
369,8         212
370,212
370,1         212
370,3         212
370,5         212
370,6         212
370,8         213
371,1         215
371,3         216
371,5         216
371,6         216
371,8         216
372,1         217
372,3         218
372,5         220
372,7         220
372,8         220
373,1         220
373,3         220
373,5         220
373,6         220
373,9         222
374,222
374,1         224
374,4         224
374,5         224
374,6         224
374,8         224
375,224
375,1         224
375,4         226
375,5         226
375,6         227
375,9         227
376,227
376,1         227
376,3         227
376,5         227
376,6         229
376,9         229
377,230
377,1         230
377,4         230
377,5         230
377,6         230
377,8         230
378,231
378,1         231
378,4         231
378,5         231
378,6         231
378,8         231
379,1         231
379,3         231
379,5         231
379,6         202
379,9         204
380,204
380,1         205
380,3         205
380,5         205
380,6         205
380,9         207
381,207
381,1         208
381,3         208
381,5         210
381,6         210
381,9         210
382,210
382,1         210
382,3         210
382,5         211
382,6         211
382,8         213
383,214
383,1         214
383,3         214
383,5         214
383,6         214
383,8         214
384,214
384,1         216
384,3         218
384,5         218
384,7         218
384,8         218
385,218
385,1         218
385,3         219
385,6         220
385,8         220
386,222
386,1         222
386,3         222
386,6         222
386,8         222
387,223
387,2         224
387,3         224
387,5         225
387,6         225
387,8         225
388,225
388,1         225
388,3         225
388,6         227
388,8         228
389,228
389,1         228
389,3         228
389,6         229
389,8         229
390,1         231
390,3         232
390,5         232
390,7         232
390,8         232
391,232
391,1         232
391,3         232
391,5         232
391,6         232
391,9         203
392,203
392,1         203
392,3         203
392,5         204
392,7         205
392,8         205
393,207
393,1         207
393,3         209
393,5         209
393,6         209
393,8         209
394,209
394,1         209
394,3         211
394,5         212
394,6         212
394,8         212
395,212
395,1         212
395,4         213
395,5         214
395,6         214
395,8         216
396,1         217
396,3         217
396,5         217
396,6         217
396,8         217
397,217
397,1         218
397,3         220
397,5         220
397,6         220
397,8         220
398,220
398,1         220
398,3         220
398,5         221
398,6         223
398,8         223
399,224
399,1         224
399,4         224
399,5         224
399,6         224
399,8         224
400,1         225
400,3         227
400,5         227
400,6         227
400,8         227
401,227
401,1         227
401,3         227
401,5         229
401,7         229
401,8         231
402,231
402,1         231
402,4         231
402,5         231
402,6         231
402,8         231
403,231
403,1         231
403,4         231
403,5         231
403,6         231
403,8         231
404,231
404,1         231
404,3         231
404,6         199
404,8         201
405,1         201
405,3         202
405,6         203
405,8         203
406,205
406,1         205
406,3         207
406,6         207
406,8         207
407,207
407,1         207
407,3         208
407,6         210
407,8         211
408,1         211
408,3         211
408,6         211
408,8         213
409,213
409,1         214
409,3         214
409,5         214
409,6         214
409,8         214
410,214
410,2         215
410,3         215
410,5         217
410,7         217
410,8         218
411,218
411,2         218
411,3         218
411,5         218
411,7         218
411,8         220
412,222
412,1         222
412,3         222
412,5         222
412,6         222
412,8         222
413,222
413,2         222
413,3         224
413,5         225
413,7         225
413,8         225
414,225
414,1         225
414,3         225
414,5         225
414,6         226
414,9         228
415,228
415,1         228
415,3         228
415,5         228
415,6         228
415,8         228
416,1         228
416,3         229
416,5         231
416,6         231
416,8         231
417,231
417,1         231
417,3         231
417,5         232
417,6         232
417,8         232
418,232
418,1         232
418,3         232
418,5         232
418,6         232
418,8         232
419,232
419,1         186
419,3         189
419,6         189
419,8         189
420,189
420,1         190
420,3         190
420,5         191
420,6         193
420,8         193
421,194
421,1         194
421,3         195
421,6         195
421,8         196
422,197
422,1         197
422,3         198
422,6         199
422,8         199
423,199
423,2         199
423,3         200
423,5         201
423,7         201
423,8         203
424,203
424,2         203
424,3         203
424,6         203
424,8         204
425,1         206
425,3         206
425,5         206
425,6         206
425,8         206
426,206
426,2         207
426,3         207
426,5         208
426,6         210
426,8         210
427,210
427,1         210
427,3         210
427,5         210
427,6         210
427,9         211
428,212
428,1         212
428,3         212
428,5         212
428,6         212
428,9         212
429,212
429,1         212
429,3         214
429,5         216
429,6         216
429,8         216
430,216
430,1         216
430,3         216
430,5         216
430,6         216
430,9         218
431,218
431,1         218
431,3         218
431,5         218
431,6         218
431,8         218
432,1         218
432,3         220
432,5         222
432,6         222
432,8         222
433,1         222
433,3         222
433,5         222
433,7         222
433,8         224
434,225
434,1         225
434,3         225
434,5         225
434,7         225
434,8         225
435,225
435,2         225
435,3         227
435,5         227
435,7         227
435,8         227
436,227
436,1         227
436,3         227
436,5         228
436,6         229
436,8         231
437,1         231
437,3         231
437,5         231
437,6         231
437,8         231
438,231
438,1         231
438,3         233
438,5         233
438,6         233
438,8         233
439,233
439,1         233
439,3         233
439,5         233
439,6         233
439,8         198
440,198
440,1         198
