nm	Abs
627.60	0.042
627.40	0.043
627.20	0.044
627.00	0.046
626.80	0.048
626.60	0.048
626.40	0.048
626.20	0.050
626.00	0.052
625.80	0.052
625.60	0.054
625.40	0.055
625.20	0.057
625.00	0.059
624.80	0.059
624.60	0.061
624.40	0.062
624.20	0.064
624.00	0.066
623.80	0.067
623.60	0.068
623.40	0.071
623.20	0.073
623.00	0.073
622.80	0.075
622.60	0.078
622.40	0.079
622.20	0.080
622.00	0.082
621.80	0.085
621.60	0.086
621.40	0.089
621.20	0.090
621.00	0.093
620.80	0.095
620.60	0.098
620.40	0.100
620.20	0.102
620.00	0.103
619.80	0.106
619.60	0.108
619.40	0.110
619.20	0.114
619.00	0.115
618.80	0.117
618.60	0.120
618.40	0.123
618.20	0.124
618.00	0.127
617.80	0.131
617.60	0.133
617.40	0.135
617.20	0.138
617.00	0.141
616.80	0.143
616.60	0.147
616.40	0.149
616.20	0.152
616.00	0.155
615.80	0.157
615.60	0.161
615.40	0.164
615.20	0.166
615.00	0.171
614.80	0.172
614.60	0.174
614.40	0.179
614.20	0.182
614.00	0.185
613.80	0.188
613.60	0.192
613.40	0.195
613.20	0.199
613.00	0.202
612.80	0.206
612.60	0.210
612.40	0.213
612.20	0.217
612.00	0.221
611.80	0.224
611.60	0.228
611.40	0.232
611.20	0.236
611.00	0.240
610.80	0.245
610.60	0.248
610.40	0.252
610.20	0.256
610.00	0.260
609.80	0.266
609.60	0.267
609.40	0.272
609.20	0.276
609.00	0.281
608.80	0.284
608.60	0.289
608.40	0.293
608.20	0.297
608.00	0.301
607.80	0.305
607.60	0.309
607.40	0.313
607.20	0.318
607.00	0.322
606.80	0.326
606.60	0.331
606.40	0.334
606.20	0.339
606.00	0.342
605.80	0.346
605.60	0.351
605.40	0.355
605.20	0.358
605.00	0.362
604.80	0.366
604.60	0.371
604.40	0.375
604.20	0.380
604.00	0.383
603.80	0.387
603.60	0.391
603.40	0.395
603.20	0.399
603.00	0.402
602.80	0.407
602.60	0.410
602.40	0.415
602.20	0.418
602.00	0.421
601.80	0.426
601.60	0.430
601.40	0.433
601.20	0.436
601.00	0.441
600.80	0.444
600.60	0.448
600.40	0.451
600.20	0.455
600.00	0.458
599.80	0.461
599.60	0.464
599.40	0.467
599.20	0.471
599.00	0.474
598.80	0.476
598.60	0.479
598.40	0.482
598.20	0.485
598.00	0.487
597.80	0.490
597.60	0.492
597.40	0.493
597.20	0.497
597.00	0.498
596.80	0.501
596.60	0.503
596.40	0.505
596.20	0.507
596.00	0.509
595.80	0.511
595.60	0.512
595.40	0.514
595.20	0.515
595.00	0.517
594.80	0.516
594.60	0.519
594.40	0.521
594.20	0.520
594.00	0.522
593.80	0.522
593.60	0.524
593.40	0.525
593.20	0.526
593.00	0.526
592.80	0.528
592.60	0.527
592.40	0.527
592.20	0.528
592.00	0.528
591.80	0.529
591.60	0.529
591.40	0.528
591.20	0.528
591.00	0.528
590.80	0.527
590.60	0.528
590.40	0.527
590.20	0.526
590.00	0.527
589.80	0.526
589.60	0.526
589.40	0.526
589.20	0.525
589.00	0.524
588.80	0.523
588.60	0.521
588.40	0.519
588.20	0.519
588.00	0.519
587.80	0.516
587.60	0.515
587.40	0.514
587.20	0.514
587.00	0.511
586.80	0.511
586.60	0.509
586.40	0.507
586.20	0.506
586.00	0.504
585.80	0.503
585.60	0.501
585.40	0.500
585.20	0.497
585.00	0.496
584.80	0.494
584.60	0.493
584.40	0.490
584.20	0.489
584.00	0.488
583.80	0.484
583.60	0.482
583.40	0.480
583.20	0.479
583.00	0.476
582.80	0.474
582.60	0.472
582.40	0.472
582.20	0.469
582.00	0.466
581.80	0.464
581.60	0.461
581.40	0.459
581.20	0.457
581.00	0.455
580.80	0.452
580.60	0.450
580.40	0.448
580.20	0.445
580.00	0.443
579.80	0.441
579.60	0.438
579.40	0.438
579.20	0.434
579.00	0.431
578.80	0.429
578.60	0.428
578.40	0.425
578.20	0.423
578.00	0.420
577.80	0.419
577.60	0.416
577.40	0.414
577.20	0.411
577.00	0.409
576.80	0.407
576.60	0.406
576.40	0.403
576.20	0.400
576.00	0.398
575.80	0.398
575.60	0.395
575.40	0.392
575.20	0.391
575.00	0.388
574.80	0.387
574.60	0.385
574.40	0.382
574.20	0.380
574.00	0.378
573.80	0.377
573.60	0.375
573.40	0.373
573.20	0.370
573.00	0.368
572.80	0.367
572.60	0.365
572.40	0.363
572.20	0.361
572.00	0.359
571.80	0.357
571.60	0.356
571.40	0.352
571.20	0.352
571.00	0.349
570.80	0.347
570.60	0.346
570.40	0.344
570.20	0.343
570.00	0.341
569.80	0.338
569.60	0.338
569.40	0.335
569.20	0.334
569.00	0.331
568.80	0.329
568.60	0.328
568.40	0.327
568.20	0.325
568.00	0.323
567.80	0.323
567.60	0.320
567.40	0.319
567.20	0.318
567.00	0.316
566.80	0.315
566.60	0.313
566.40	0.312
566.20	0.310
566.00	0.310
565.80	0.307
565.60	0.307
565.40	0.305
565.20	0.304
565.00	0.303
564.80	0.301
564.60	0.300
564.40	0.298
564.20	0.298
564.00	0.296
563.80	0.295
563.60	0.294
563.40	0.293
563.20	0.291
563.00	0.291
562.80	0.289
562.60	0.288
562.40	0.286
562.20	0.285
562.00	0.284
561.80	0.283
561.60	0.281
561.40	0.280
561.20	0.280
561.00	0.280
560.80	0.277
560.60	0.275
560.40	0.275
560.20	0.274
560.00	0.273
559.80	0.271
559.60	0.271
559.40	0.269
559.20	0.268
559.00	0.268
558.80	0.267
558.60	0.266
558.40	0.265
558.20	0.264
558.00	0.261
557.80	0.261
557.60	0.261
557.40	0.259
557.20	0.258
557.00	0.257
556.80	0.257
556.60	0.255
556.40	0.255
556.20	0.253
556.00	0.252
555.80	0.251
555.60	0.251
555.40	0.249
555.20	0.250
555.00	0.248
554.80	0.247
554.60	0.246
554.40	0.246
554.20	0.245
554.00	0.243
553.80	0.243
553.60	0.242
553.40	0.241
553.20	0.240
553.00	0.240
552.80	0.237
552.60	0.237
552.40	0.237
552.20	0.235
552.00	0.236
551.80	0.234
551.60	0.233
551.40	0.232
551.20	0.230
551.00	0.231
550.80	0.229
550.60	0.228
550.40	0.226
550.20	0.226
550.00	0.226
549.80	0.224
549.60	0.224
549.40	0.222
549.20	0.221
549.00	0.221
548.80	0.220
548.60	0.219
548.40	0.218
548.20	0.217
548.00	0.216
547.80	0.216
547.60	0.216
547.40	0.214
547.20	0.212
547.00	0.212
546.80	0.211
546.60	0.210
546.40	0.209
546.20	0.208
546.00	0.208
545.80	0.206
545.60	0.206
545.40	0.204
545.20	0.204
545.00	0.203
544.80	0.202
544.60	0.200
544.40	0.200
544.20	0.200
544.00	0.198
543.80	0.197
543.60	0.196
543.40	0.195
543.20	0.195
543.00	0.194
542.80	0.193
542.60	0.192
542.40	0.192
542.20	0.190
542.00	0.189
541.80	0.189
541.60	0.188
541.40	0.187
541.20	0.186
541.00	0.185
540.80	0.185
540.60	0.183
540.40	0.182
540.20	0.181
540.00	0.181
539.80	0.180
539.60	0.178
539.40	0.178
539.20	0.177
539.00	0.176
538.80	0.175
538.60	0.174
538.40	0.173
538.20	0.173
538.00	0.171
537.80	0.171
537.60	0.170
537.40	0.169
537.20	0.168
537.00	0.167
536.80	0.166
536.60	0.166
536.40	0.165
536.20	0.164
536.00	0.164
535.80	0.163
535.60	0.162
535.40	0.160
535.20	0.160
535.00	0.160
534.80	0.159
534.60	0.157
534.40	0.156
534.20	0.156
534.00	0.155
533.80	0.154
533.60	0.153
533.40	0.153
533.20	0.152
533.00	0.151
532.80	0.151
532.60	0.150
532.40	0.150
532.20	0.148
532.00	0.147
531.80	0.147
531.60	0.147
531.40	0.145
531.20	0.144
531.00	0.150
530.80	0.150
530.60	0.148
530.40	0.148
530.20	0.147
530.00	0.146
529.80	0.145
529.60	0.144
529.40	0.144
529.20	0.143
529.00	0.142
528.80	0.142
528.60	0.142
528.40	0.141
528.20	0.141
528.00	0.138
527.80	0.140
