nm	Abs
660.00	-0.010
659.80	-0.010
659.60	-0.010
659.40	-0.010
659.20	-0.009
659.00	-0.009
658.80	-0.009
658.60	-0.009
658.40	-0.009
658.20	-0.010
658.00	-0.010
657.80	-0.009
657.60	-0.010
657.40	-0.010
657.20	-0.009
657.00	-0.008
656.80	-0.009
656.60	-0.009
656.40	-0.010
656.20	-0.008
656.00	-0.008
655.80	-0.009
655.60	-0.009
655.40	-0.009
655.20	-0.008
655.00	-0.009
654.80	-0.008
654.60	-0.008
654.40	-0.008
654.20	-0.008
654.00	-0.008
653.80	-0.008
653.60	-0.007
653.40	-0.008
653.20	-0.007
653.00	-0.008
652.80	-0.007
652.60	-0.007
652.40	-0.007
652.20	-0.007
652.00	-0.008
651.80	-0.007
651.60	-0.007
651.40	-0.005
651.20	-0.006
651.00	-0.007
650.80	-0.006
650.60	-0.006
650.40	-0.006
650.20	-0.005
650.00	-0.006
649.80	-0.006
649.60	-0.006
649.40	-0.006
649.20	-0.006
649.00	-0.004
648.80	-0.004
648.60	-0.004
648.40	-0.005
648.20	-0.004
648.00	-0.005
647.80	-0.005
647.60	-0.004
647.40	-0.004
647.20	-0.004
647.00	-0.003
646.80	-0.003
646.60	-0.003
646.40	-0.002
646.20	-0.003
646.00	-0.002
645.80	-0.003
645.60	-0.002
645.40	-0.002
645.20	-0.002
645.00	-0.002
644.80	-0.002
644.60	-0.001
644.40	-0.001
644.20	-0.001
644.00	0.000
643.80	-0.001
643.60	0.001
643.40	0.001
643.20	0.000
643.00	0.000
642.80	0.002
642.60	0.002
642.40	0.002
642.20	0.002
642.00	0.003
641.80	0.003
641.60	0.003
641.40	0.004
641.20	0.004
641.00	0.004
640.80	0.005
640.60	0.006
640.40	0.005
640.20	0.005
640.00	0.006
639.80	0.007
639.60	0.007
639.40	0.006
639.20	0.007
639.00	0.008
638.80	0.007
638.60	0.008
638.40	0.009
638.20	0.010
638.00	0.010
637.80	0.011
637.60	0.012
637.40	0.012
637.20	0.012
637.00	0.012
636.80	0.013
636.60	0.014
636.40	0.014
636.20	0.014
636.00	0.016
635.80	0.016
635.60	0.016
635.40	0.017
635.20	0.017
635.00	0.018
634.80	0.018
634.60	0.019
634.40	0.021
634.20	0.021
634.00	0.022
633.80	0.021
633.60	0.023
633.40	0.024
633.20	0.025
633.00	0.025
632.80	0.025
632.60	0.027
632.40	0.028
632.20	0.028
632.00	0.030
631.80	0.030
631.60	0.031
631.40	0.032
631.20	0.032
631.00	0.034
630.80	0.034
630.60	0.037
630.40	0.037
630.20	0.038
630.00	0.039
629.80	0.040
629.60	0.041
629.40	0.042
629.20	0.044
629.00	0.044
628.80	0.046
628.60	0.047
