nm	Abs
629.20	-0.012
629.00	-0.012
628.80	-0.012
628.60	-0.013
628.40	-0.012
628.20	-0.012
628.00	-0.013
627.80	-0.013
627.60	-0.012
627.40	-0.013
627.20	-0.013
627.00	-0.012
626.80	-0.012
626.60	-0.013
626.40	-0.012
626.20	-0.013
626.00	-0.012
625.80	-0.013
625.60	-0.013
625.40	-0.013
625.20	-0.012
625.00	-0.012
624.80	-0.012
624.60	-0.012
624.40	-0.012
624.20	-0.012
624.00	-0.012
623.80	-0.012
623.60	-0.012
623.40	-0.012
623.20	-0.011
623.00	-0.013
622.80	-0.013
622.60	-0.012
622.40	-0.013
622.20	-0.012
622.00	-0.012
621.80	-0.013
621.60	-0.013
621.40	-0.012
621.20	-0.013
621.00	-0.012
620.80	-0.012
620.60	-0.012
620.40	-0.012
620.20	-0.012
620.00	-0.012
619.80	-0.011
619.60	-0.012
619.40	-0.012
619.20	-0.012
619.00	-0.011
618.80	-0.012
618.60	-0.013
618.40	-0.012
618.20	-0.012
618.00	-0.013
617.80	-0.012
617.60	-0.012
617.40	-0.012
617.20	-0.012
617.00	-0.012
616.80	-0.012
616.60	-0.012
616.40	-0.012
616.20	-0.012
616.00	-0.012
615.80	-0.012
615.60	-0.012
615.40	-0.011
615.20	-0.013
615.00	-0.012
614.80	-0.013
614.60	-0.013
614.40	-0.013
614.20	-0.012
614.00	-0.012
613.80	-0.012
613.60	-0.012
613.40	-0.011
613.20	-0.012
613.00	-0.013
612.80	-0.012
612.60	-0.012
612.40	-0.012
612.20	-0.013
612.00	-0.011
611.80	-0.013
611.60	-0.012
611.40	-0.013
611.20	-0.012
611.00	-0.012
610.80	-0.012
610.60	-0.012
610.40	-0.012
610.20	-0.012
610.00	-0.012
609.80	-0.011
609.60	-0.013
609.40	-0.012
609.20	-0.012
609.00	-0.012
608.80	-0.012
608.60	-0.012
608.40	-0.012
608.20	-0.012
608.00	-0.012
607.80	-0.012
607.60	-0.012
607.40	-0.012
607.20	-0.012
607.00	-0.012
606.80	-0.012
606.60	-0.012
606.40	-0.012
606.20	-0.011
606.00	-0.012
605.80	-0.012
605.60	-0.012
605.40	-0.012
605.20	-0.012
605.00	-0.012
604.80	-0.012
604.60	-0.011
604.40	-0.012
604.20	-0.012
604.00	-0.012
603.80	-0.012
603.60	-0.012
603.40	-0.012
603.20	-0.011
603.00	-0.012
602.80	-0.012
602.60	-0.012
602.40	-0.011
602.20	-0.012
602.00	-0.012
601.80	-0.011
601.60	-0.011
601.40	-0.011
601.20	-0.012
601.00	-0.012
600.80	-0.012
600.60	-0.011
600.40	-0.012
600.20	-0.012
600.00	-0.011
599.80	-0.012
599.60	-0.012
599.40	-0.012
599.20	-0.012
599.00	-0.012
598.80	-0.011
598.60	-0.012
598.40	-0.012
598.20	-0.011
598.00	-0.011
597.80	-0.011
597.60	-0.012
597.40	-0.012
597.20	-0.012
597.00	-0.012
596.80	-0.011
596.60	-0.012
596.40	-0.012
596.20	-0.012
596.00	-0.011
595.80	-0.011
595.60	-0.011
595.40	-0.011
595.20	-0.012
595.00	-0.011
594.80	-0.012
594.60	-0.011
594.40	-0.012
594.20	-0.012
594.00	-0.011
593.80	-0.012
593.60	-0.011
593.40	-0.012
593.20	-0.012
593.00	-0.012
592.80	-0.010
592.60	-0.011
592.40	-0.012
592.20	-0.012
592.00	-0.012
591.80	-0.011
591.60	-0.012
591.40	-0.011
591.20	-0.012
591.00	-0.012
590.80	-0.012
590.60	-0.011
590.40	-0.012
590.20	-0.012
590.00	-0.012
589.80	-0.012
589.60	-0.011
589.40	-0.011
589.20	-0.011
589.00	-0.011
588.80	-0.012
588.60	-0.012
588.40	-0.011
588.20	-0.011
588.00	-0.011
587.80	-0.012
587.60	-0.012
587.40	-0.012
587.20	-0.012
587.00	-0.012
586.80	-0.011
586.60	-0.011
586.40	-0.011
586.20	-0.010
586.00	-0.011
585.80	-0.012
585.60	-0.011
585.40	-0.011
585.20	-0.012
585.00	-0.012
584.80	-0.011
584.60	-0.011
584.40	-0.011
584.20	-0.012
584.00	-0.011
583.80	-0.011
583.60	-0.011
583.40	-0.012
583.20	-0.011
583.00	-0.011
582.80	-0.012
582.60	-0.011
582.40	-0.011
582.20	-0.011
582.00	-0.011
581.80	-0.011
581.60	-0.011
581.40	-0.011
581.20	-0.011
581.00	-0.012
580.80	-0.011
580.60	-0.011
580.40	-0.011
580.20	-0.012
580.00	-0.011
579.80	-0.011
579.60	-0.012
579.40	-0.011
579.20	-0.011
579.00	-0.012
578.80	-0.011
578.60	-0.011
578.40	-0.011
578.20	-0.011
578.00	-0.012
577.80	-0.011
577.60	-0.012
577.40	-0.012
577.20	-0.012
577.00	-0.011
576.80	-0.011
576.60	-0.011
576.40	-0.012
576.20	-0.012
576.00	-0.012
575.80	-0.012
575.60	-0.011
575.40	-0.011
575.20	-0.012
575.00	-0.011
574.80	-0.012
574.60	-0.011
574.40	-0.011
574.20	-0.011
574.00	-0.012
573.80	-0.011
573.60	-0.011
573.40	-0.011
573.20	-0.011
573.00	-0.012
572.80	-0.011
572.60	-0.012
572.40	-0.012
572.20	-0.011
572.00	-0.012
571.80	-0.011
571.60	-0.011
571.40	-0.011
571.20	-0.011
571.00	-0.012
570.80	-0.011
570.60	-0.012
570.40	-0.010
570.20	-0.011
570.00	-0.011
569.80	-0.012
569.60	-0.011
569.40	-0.011
569.20	-0.011
569.00	-0.012
568.80	-0.012
568.60	-0.012
568.40	-0.011
568.20	-0.012
568.00	-0.012
567.80	-0.011
567.60	-0.012
567.40	-0.011
567.20	-0.012
567.00	-0.011
566.80	-0.011
566.60	-0.011
566.40	-0.011
566.20	-0.011
566.00	-0.011
