nm	Abs
700.00	-0.012
699.80	-0.013
699.60	-0.013
699.40	-0.012
699.20	-0.013
699.00	-0.012
698.80	-0.013
698.60	-0.013
698.40	-0.013
698.20	-0.012
698.00	-0.013
697.80	-0.013
697.60	-0.012
697.40	-0.012
697.20	-0.012
697.00	-0.013
696.80	-0.013
696.60	-0.012
696.40	-0.013
696.20	-0.013
696.00	-0.013
695.80	-0.013
695.60	-0.013
695.40	-0.012
695.20	-0.013
695.00	-0.012
694.80	-0.012
694.60	-0.013
694.40	-0.013
694.20	-0.012
694.00	-0.013
693.80	-0.013
693.60	-0.013
693.40	-0.013
693.20	-0.012
693.00	-0.013
692.80	-0.012
692.60	-0.013
692.40	-0.013
692.20	-0.012
692.00	-0.012
691.80	-0.013
691.60	-0.013
691.40	-0.013
691.20	-0.013
691.00	-0.012
690.80	-0.013
690.60	-0.012
690.40	-0.013
690.20	-0.013
690.00	-0.013
689.80	-0.012
689.60	-0.012
689.40	-0.013
689.20	-0.012
689.00	-0.012
688.80	-0.013
688.60	-0.012
688.40	-0.013
688.20	-0.012
688.00	-0.012
687.80	-0.012
687.60	-0.013
687.40	-0.011
687.20	-0.013
687.00	-0.013
686.80	-0.013
686.60	-0.012
686.40	-0.013
686.20	-0.013
686.00	-0.013
685.80	-0.012
685.60	-0.013
685.40	-0.013
685.20	-0.012
685.00	-0.013
684.80	-0.013
684.60	-0.013
684.40	-0.012
684.20	-0.013
684.00	-0.013
683.80	-0.013
683.60	-0.013
683.40	-0.012
683.20	-0.013
683.00	-0.013
682.80	-0.013
682.60	-0.013
682.40	-0.012
682.20	-0.012
682.00	-0.014
681.80	-0.012
681.60	-0.013
681.40	-0.013
681.20	-0.014
681.00	-0.012
680.80	-0.012
680.60	-0.013
680.40	-0.013
680.20	-0.012
680.00	-0.013
679.80	-0.013
679.60	-0.013
679.40	-0.012
679.20	-0.013
679.00	-0.013
678.80	-0.012
678.60	-0.013
678.40	-0.013
678.20	-0.012
678.00	-0.013
677.80	-0.011
677.60	-0.013
677.40	-0.012
677.20	-0.012
677.00	-0.013
676.80	-0.012
676.60	-0.012
676.40	-0.012
676.20	-0.013
676.00	-0.013
675.80	-0.013
675.60	-0.012
675.40	-0.012
675.20	-0.013
675.00	-0.013
674.80	-0.013
674.60	-0.013
674.40	-0.013
674.20	-0.013
674.00	-0.013
673.80	-0.013
673.60	-0.013
673.40	-0.012
673.20	-0.013
673.00	-0.012
672.80	-0.013
672.60	-0.013
672.40	-0.013
672.20	-0.013
672.00	-0.012
671.80	-0.012
671.60	-0.013
671.40	-0.012
671.20	-0.013
671.00	-0.013
670.80	-0.013
670.60	-0.012
670.40	-0.013
670.20	-0.012
670.00	-0.012
669.80	-0.012
669.60	-0.013
669.40	-0.013
669.20	-0.012
669.00	-0.012
668.80	-0.012
668.60	-0.012
668.40	-0.013
668.20	-0.013
668.00	-0.012
667.80	-0.012
667.60	-0.013
667.40	-0.012
667.20	-0.012
667.00	-0.012
666.80	-0.013
666.60	-0.012
666.40	-0.012
666.20	-0.012
666.00	-0.012
665.80	-0.012
665.60	-0.012
665.40	-0.012
665.20	-0.012
665.00	-0.012
664.80	-0.012
664.60	-0.012
664.40	-0.013
664.20	-0.013
664.00	-0.012
663.80	-0.013
663.60	-0.012
663.40	-0.012
663.20	-0.012
663.00	-0.012
662.80	-0.012
662.60	-0.012
662.40	-0.012
662.20	-0.012
662.00	-0.013
661.80	-0.012
661.60	-0.012
661.40	-0.012
661.20	-0.013
661.00	-0.012
660.80	-0.013
660.60	-0.012
660.40	-0.012
660.20	-0.012
660.00	-0.013
659.80	-0.012
659.60	-0.013
659.40	-0.013
659.20	-0.013
659.00	-0.012
658.80	-0.012
658.60	-0.012
658.40	-0.012
658.20	-0.012
658.00	-0.013
657.80	-0.012
657.60	-0.013
657.40	-0.012
657.20	-0.012
657.00	-0.012
656.80	-0.012
656.60	-0.012
656.40	-0.012
656.20	-0.012
656.00	-0.011
655.80	-0.013
655.60	-0.012
655.40	-0.012
655.20	-0.011
655.00	-0.012
654.80	-0.012
654.60	-0.012
654.40	-0.011
654.20	-0.012
654.00	-0.012
653.80	-0.012
653.60	-0.011
653.40	-0.012
653.20	-0.012
653.00	-0.012
652.80	-0.012
652.60	-0.011
652.40	-0.012
652.20	-0.011
652.00	-0.012
651.80	-0.011
651.60	-0.012
651.40	-0.011
651.20	-0.011
651.00	-0.012
650.80	-0.012
650.60	-0.012
650.40	-0.011
650.20	-0.011
650.00	-0.011
649.80	-0.012
649.60	-0.011
649.40	-0.011
649.20	-0.011
649.00	-0.011
648.80	-0.011
648.60	-0.010
648.40	-0.012
648.20	-0.011
648.00	-0.011
647.80	-0.011
647.60	-0.011
647.40	-0.011
647.20	-0.011
647.00	-0.011
646.80	-0.010
646.60	-0.011
646.40	-0.010
646.20	-0.011
646.00	-0.011
645.80	-0.011
645.60	-0.011
645.40	-0.011
645.20	-0.011
645.00	-0.010
644.80	-0.011
644.60	-0.010
644.40	-0.011
644.20	-0.010
644.00	-0.010
643.80	-0.010
643.60	-0.010
643.40	-0.010
643.20	-0.011
643.00	-0.010
642.80	-0.010
642.60	-0.009
642.40	-0.009
642.20	-0.010
642.00	-0.010
641.80	-0.010
641.60	-0.010
641.40	-0.009
641.20	-0.009
641.00	-0.008
640.80	-0.009
640.60	-0.008
640.40	-0.009
640.20	-0.010
640.00	-0.009
639.80	-0.009
639.60	-0.008
639.40	-0.008
639.20	-0.009
639.00	-0.007
638.80	-0.008
638.60	-0.008
638.40	-0.008
638.20	-0.008
638.00	-0.008
637.80	-0.007
637.60	-0.007
637.40	-0.008
637.20	-0.007
637.00	-0.007
636.80	-0.008
636.60	-0.007
636.40	-0.007
636.20	-0.007
636.00	-0.006
635.80	-0.006
635.60	-0.006
635.40	-0.007
635.20	-0.006
635.00	-0.007
634.80	-0.006
634.60	-0.005
634.40	-0.005
634.20	-0.005
634.00	-0.006
633.80	-0.005
633.60	-0.004
633.40	-0.004
633.20	-0.004
633.00	-0.004
632.80	-0.004
632.60	-0.004
632.40	-0.004
632.20	-0.003
632.00	-0.004
631.80	-0.003
631.60	-0.003
631.40	-0.002
631.20	-0.002
631.00	-0.002
630.80	-0.003
630.60	-0.002
630.40	-0.002
630.20	-0.001
630.00	-0.001
629.80	-0.002
629.60	0.000
629.40	-0.001
629.20	0.000
629.00	0.001
628.80	0.001
628.60	0.001
628.40	0.001
628.20	0.001
628.00	0.001
627.80	0.002
627.60	0.002
627.40	0.003
627.20	0.003
627.00	0.003
626.80	0.004
626.60	0.003
626.40	0.004
626.20	0.005
626.00	0.004
625.80	0.005
625.60	0.005
625.40	0.006
625.20	0.007
625.00	0.007
624.80	0.007
624.60	0.007
624.40	0.008
624.20	0.008
624.00	0.008
623.80	0.009
623.60	0.010
623.40	0.010
623.20	0.011
623.00	0.011
622.80	0.011
622.60	0.012
622.40	0.011
622.20	0.013
622.00	0.013
621.80	0.014
621.60	0.014
621.40	0.016
621.20	0.015
621.00	0.015
620.80	0.017
620.60	0.017
620.40	0.018
620.20	0.019
620.00	0.019
619.80	0.020
619.60	0.021
619.40	0.021
619.20	0.022
619.00	0.023
618.80	0.023
618.60	0.023
618.40	0.024
618.20	0.024
618.00	0.025
617.80	0.027
617.60	0.027
617.40	0.028
617.20	0.028
617.00	0.029
616.80	0.030
616.60	0.031
616.40	0.031
616.20	0.033
616.00	0.033
615.80	0.034
615.60	0.035
615.40	0.035
615.20	0.036
615.00	0.038
614.80	0.039
614.60	0.039
614.40	0.040
614.20	0.041
614.00	0.043
613.80	0.043
613.60	0.043
613.40	0.044
613.20	0.045
613.00	0.046
612.80	0.047
612.60	0.049
612.40	0.049
612.20	0.050
612.00	0.052
611.80	0.052
611.60	0.053
611.40	0.054
611.20	0.055
611.00	0.057
610.80	0.058
610.60	0.058
610.40	0.060
610.20	0.060
610.00	0.061
609.80	0.064
609.60	0.064
609.40	0.065
609.20	0.066
609.00	0.067
608.80	0.067
608.60	0.070
608.40	0.071
608.20	0.072
608.00	0.073
607.80	0.074
607.60	0.075
607.40	0.076
607.20	0.077
607.00	0.079
606.80	0.080
606.60	0.081
606.40	0.081
606.20	0.083
606.00	0.084
605.80	0.085
605.60	0.086
605.40	0.087
605.20	0.087
605.00	0.089
604.80	0.091
604.60	0.091
604.40	0.092
604.20	0.093
604.00	0.095
603.80	0.097
603.60	0.097
603.40	0.098
603.20	0.099
603.00	0.101
602.80	0.102
602.60	0.102
602.40	0.103
602.20	0.104
602.00	0.104
601.80	0.106
601.60	0.107
601.40	0.108
601.20	0.109
601.00	0.110
600.80	0.110
600.60	0.112
600.40	0.113
600.20	0.114
600.00	0.114
599.80	0.115
599.60	0.116
599.40	0.118
599.20	0.117
599.00	0.119
598.80	0.120
598.60	0.120
598.40	0.120
598.20	0.121
598.00	0.123
597.80	0.123
597.60	0.123
597.40	0.124
597.20	0.125
597.00	0.125
596.80	0.126
596.60	0.126
596.40	0.127
596.20	0.126
596.00	0.128
595.80	0.128
595.60	0.128
595.40	0.129
595.20	0.129
595.00	0.130
594.80	0.130
594.60	0.130
594.40	0.130
594.20	0.130
594.00	0.131
593.80	0.131
593.60	0.131
593.40	0.131
593.20	0.131
593.00	0.132
592.80	0.133
592.60	0.132
592.40	0.131
592.20	0.132
592.00	0.132
591.80	0.133
591.60	0.131
591.40	0.131
591.20	0.132
591.00	0.131
590.80	0.131
590.60	0.132
590.40	0.131
590.20	0.131
590.00	0.131
589.80	0.131
589.60	0.132
589.40	0.131
589.20	0.131
589.00	0.130
588.80	0.129
588.60	0.130
588.40	0.130
588.20	0.129
588.00	0.130
587.80	0.129
587.60	0.128
587.40	0.127
587.20	0.128
587.00	0.126
586.80	0.127
586.60	0.126
586.40	0.127
586.20	0.126
586.00	0.125
585.80	0.125
585.60	0.125
585.40	0.124
585.20	0.123
585.00	0.123
584.80	0.122
584.60	0.122
584.40	0.121
584.20	0.120
584.00	0.121
583.80	0.120
583.60	0.118
583.40	0.118
583.20	0.118
583.00	0.118
582.80	0.117
582.60	0.117
582.40	0.115
582.20	0.116
582.00	0.115
581.80	0.114
581.60	0.113
581.40	0.113
581.20	0.113
581.00	0.112
580.80	0.111
580.60	0.110
580.40	0.110
580.20	0.109
580.00	0.110
579.80	0.108
579.60	0.107
579.40	0.107
579.20	0.106
579.00	0.105
578.80	0.105
578.60	0.104
578.40	0.104
578.20	0.103
578.00	0.102
577.80	0.101
577.60	0.101
577.40	0.101
577.20	0.100
577.00	0.100
576.80	0.099
576.60	0.099
576.40	0.097
576.20	0.097
576.00	0.097
575.80	0.096
575.60	0.096
575.40	0.095
575.20	0.095
575.00	0.094
574.80	0.093
574.60	0.093
574.40	0.092
574.20	0.092
574.00	0.091
573.80	0.092
573.60	0.090
573.40	0.090
573.20	0.090
573.00	0.088
572.80	0.088
572.60	0.087
572.40	0.087
572.20	0.087
572.00	0.086
571.80	0.086
571.60	0.085
571.40	0.084
571.20	0.084
571.00	0.083
570.80	0.083
570.60	0.083
570.40	0.082
570.20	0.082
570.00	0.081
569.80	0.080
569.60	0.081
569.40	0.079
569.20	0.079
569.00	0.078
568.80	0.078
568.60	0.078
568.40	0.078
568.20	0.076
568.00	0.076
567.80	0.077
567.60	0.075
567.40	0.075
567.20	0.075
567.00	0.075
566.80	0.075
566.60	0.074
566.40	0.075
566.20	0.073
566.00	0.074
565.80	0.072
565.60	0.073
565.40	0.072
565.20	0.072
565.00	0.072
564.80	0.071
564.60	0.071
564.40	0.070
564.20	0.071
564.00	0.070
563.80	0.069
563.60	0.069
563.40	0.069
563.20	0.069
563.00	0.068
562.80	0.068
562.60	0.068
562.40	0.067
562.20	0.068
562.00	0.067
561.80	0.067
561.60	0.066
561.40	0.066
561.20	0.066
561.00	0.066
560.80	0.065
560.60	0.065
560.40	0.064
560.20	0.065
560.00	0.063
559.80	0.064
559.60	0.063
559.40	0.063
559.20	0.063
559.00	0.063
558.80	0.063
558.60	0.062
558.40	0.062
558.20	0.062
558.00	0.061
557.80	0.061
557.60	0.061
557.40	0.060
557.20	0.061
557.00	0.060
556.80	0.061
556.60	0.059
556.40	0.060
556.20	0.060
556.00	0.060
555.80	0.059
555.60	0.059
555.40	0.058
555.20	0.059
555.00	0.058
554.80	0.058
554.60	0.057
554.40	0.058
554.20	0.058
554.00	0.057
553.80	0.058
553.60	0.057
553.40	0.057
553.20	0.057
553.00	0.057
552.80	0.055
552.60	0.056
552.40	0.056
552.20	0.056
552.00	0.056
551.80	0.055
551.60	0.055
551.40	0.055
551.20	0.054
551.00	0.055
