162	1.3553
192	1.2911
222	1.2395
252	1.1800
282	1.1175
312	1.0544
342	0.9903
372	0.9258
402	0.8630
432	0.8029
462	0.7458
492	0.6910
522	0.6395
552	0.5908
582	0.5449
612	0.5015
642	0.4603
672	0.4215
702	0.3834
732	0.3505
762	0.3160
792	0.2853
822	0.2538
852	0.2240
882	0.1973
912	0.1702
942	0.1460
972	0.1222
1002	0.0993
1032	0.0776
1062	0.0569
1092	0.0371
1122	0.0183
1152	0.0002
1182	-0.0169
1212	-0.0333
1242	-0.0491
1272	-0.0640
1302	-0.0781
1332	-0.0917
1362	-0.1045
1392	-0.1170
1422	-0.1286
1452	-0.1399
1482	-0.1506
1512	-0.1608
1542	-0.1705
1572	-0.1798
1602	-0.1890
1632	-0.1973
1662	-0.2054
1692	-0.2131
1722	-0.2206
1752	-0.2270
1782	-0.2342
1812	-0.2405
1842	-0.2467
1872	-0.2523
1902	-0.2578
1932	-0.2628
1962	-0.2681
1992	-0.2729
2022	-0.2775
2052	-0.2819
2082	-0.2861
2112	-0.2900
2142	-0.2936
2172	-0.2974
2202	-0.3008
2232	-0.3040
2262	-0.3072
2292	-0.3104
2322	-0.3132
2352	-0.3158
2382	-0.3186
2412	-0.3209
2442	-0.3233
2472	-0.3255
2502	-0.3278
